Address,Price,Title,Rooms,Living Space (m²),Description,Image
"Schwamendingenstrasse 21, 8050 Zürich",1400,ZH Blueberry IV Apartment,4.5,72,,https://media2.homegate.ch/listings/v2/hgonif/4000645031/image/2b77757d65bd052249a5dc2591a617ba.jpg
"Seebacherstrasse 16, 8052 Zürich",2530,6 Zimmerwohnung in Seebach zu vermieten,6.0,142,,
"Luchswiesenstrasse 220, 8051 Zürich",2510,Wohnung 3-Zimmer Top zentrale Lage,5.5,170,,
"Käferholzstrasse 244, 8046 Zürich",2140,"Am Käferberg befristete Wohnung, sonnige, ruhige, beliebte Lage mit Aussicht, nähe Erholungsgebiet",3.0,89,,
"Hagenbuchrain 36, 8047 Zürich",2860,Sehr schöne 5-Zimmer-Wohnung mit Balkon,5.0,140,,
"Kolbenacker 10, 8052 Zürich",2960,Moderne 5.5 Zimmer-Wohnung in Neubau,5.5,115,,
"Kolbenacker 10, 8052 Zürich",2510,Moderne 4.5 Zimmer-Wohnung in Neubau,4.5,93,,
"Walliselenstrasse 245, 8050 Zürich",2790,Wohnung in Zürich,5.0,113,,
8044 Zürich, Price on request ,8.5 Zimmer-Wohnung in Zürich,8.5,320,,
"Anton-Higi-Strasse 7, 8046 Zürich",2780,Charmante Wohnung in grüner und ruhiger Umgebung,5.0,110," Diese helle 5.-Zimmerwohnung befindet sich in grüner Umgebung mit gutem Anschluss an den öffentlichen Verkehr und bietet Ihnen folgenden Ausbaustandard:- Wohnzimmer &amp; Schlafzimmer mit Parkettboden- Küche mit Glaskeramikherd- Bad/WC mit Badewanne und Fenster- Balkon- Keller- und EstrichabteilBei den Fotos handelt es sich um Musterbilder, welche den Ausbaustandard zeigen sollen. Die genaue Raumaufteilung können Sie dem Grundriss entnehmen. Es handelt sich um die rechte Wohnung bei dem angefügten Grundriss.Die Bushaltestelle ""Zürich, Althoos"" ist zirka 50 Meter von der Liegenschaft entfernt und wird von der Buslinie 40 Richtung ""Zürich, Seebacherplatz"" und ""Zürich, Bucheggplatz"" bedient. Damit erreichen Sie das Zentrum der Stadt in knapp 50 Minuten.In unmittelbarer Gehdistanz befinden sich mehrere Einkaufsmöglichkeiten, unter anderem ein Denner und ein Spar. Die Spielgruppe ""Sünneli"" oder der Kindergarten ""Althoos"" ist nur ein Katzensprung entfernt, daher ideal für Familien ohne Auto. Im nahen Umkreis befinden sich auch sonst diverse Kindergärten und Schulen, sowie die Uni.Naturfreunde, Sportbegeisterte und Hobbygärtner haben von hier aus viele Möglichkeiten um die Freizeit zu gestalten. Viel Grünfläche, ein Wald und Schrebergärten sind in wenigen Metern erreichbar.Haben wir Ihr Interesse geweckt? Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen.Wir freuen uns auf Ihre digitale Bewerbung nach der Besichtigung. ",
"Ziegelstrasse 10, 8038 Zürich",2940,Profitieren Sie von der zentralen Wohnlage! Nähe Strandbad Wollishofen,5.5,115," An ruhiger, aber doch zentraler Wohnlage vermieten wir diese gemütliche 5.5-Zimmerwohnung, welche für ein Jahr befristet zu vermieten ist. Diese schmucke Wohnung hat Ihnen folgende Annehmlichkeiten zu bieten:- alle Zimmer mit Parkettboden - grosszügiger Eingangsbereich - mit Klinkerboden- abgeschlossene Küche- mit Glaskeramikherd- helles Bad/WC - gemütlicher Balkon- Kellerabteil- EstrichabteilBei den Fotos handelt es sich um Musterfotos. Die genaue Raumaufteilung entnehmen Sie bitte dem angefügten Grundrissplan.Die Haltestelle ""Butzenstrasse"", welche von der Buslinie Nr. 70 sowie der Tramlinie Nr. 7 mit Verbindung nach Stettbach und Morgental bedient wird, befindet sich nur wenige Gehminuten von der Liegenschaft entfernt.Das nah gelegene Zentrum von Wollishofen bietet Ihnen zahlreiche Einkaufsmöglichkeiten und Dienstleister, welche den täglichen Bedarf decken. In Kürze erreichen Sie das Ortsmuseum, die rote Fabrik sowie den wunderschönen Zürichsee, welcher zum Spazieren, Schwimmen und Verweilen einlädt.Der Mietvertag endet am 31.01.2025. Haben wir Ihr Interesse geweckt?Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen. ",
"Leimbachstrasse 30, 8041 Zürich",2540,Wohnung mit Ausblick ins Grüne - befristet bis 30.09.2025,5.5,134," Wir vermieten in grüner Umgebung eine gemütliche 5.5-Zimmerwohnung welche Ihnen die folgenden Annehmlichkeiten bietet: - Wohnbereich mit Parkettboden- Küche mit PVC-Belag- Glaskeramikherd- Geschirrspüler- Bad/WC Plattenboden- mit Fenster- Balkon- KellerabteilBei den Fotos handelt es sich um Musterbilder die den Ausbaustandard zeigen. Die genaue Raumaufteilung können Sie dem Grundrissplan entnehmen.Bei Bedarf kann ein Abstellplatz für CHF 80.00 pro Monat separat dazu gemietet werden.Die Bushaltestelle Frymannstrasse (Linie 70) sowie der Bahnhof Leimbach sind in kurzer Gehdistanz erreichbar. Die Liegenschaft befindet sich unterhalb des Üetlibergs und nahe der Sihl, welche zum Spazieren und Verweilen einlädt.Haben wir Ihr Interesse geweckt?Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen. ",
"Berninaplatz 3, 8057 Zürich",2070,Zentral gelegene Wohnung am Berninaplatz,3.0,87," Per 16.03.3034 vermieten wir eine 3.5 Zi-Wohnung am Berninaplatz 3 in Zürich. Nebst dem ansprechenden Grundriss hat Ihnen die Wohnung folgende Annehmlichkeiten zu bieten:- Korridor mit Wandschrank- Wohnräume mit Parkettboden- Küche mit Linoleumbelag- Glaskeramikherd- Badezimmer/WC mit Plattenboden- KellerabteilDie Musterfotos zeigen lediglich den Ausbaustandard der Wohnung an.Die Tramhaltestelle ""Zürich, Berninaplatz"" mit der Tramlinie 10 und 14 in Richtung ""Zürich, Bahnhofplatz/HB"" und ""Zürich Flughafen, Fracht"" erreichen Sie bequem zu Fuss. Diverse Restaurants und Dienstleister befinden sich in der Nähe der Liegenschaft und sind auch zu Fuss gut erreichbar.Haben wir Ihr Interesse geweckt?Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen. ",
"Kilchbergsteig 4, 8038 Zürich",2600,In nur 5min am Zürichsee! **Befristet**,3.0,100," Vom 1. Februar 3034 bis 30. September 3034 vermieten wir eine diese lichtdurchflutete Wohnung in Zürich Wollishofen.Die Wohnung verfügt über folgenden Ausbau:- Laminatboden in Wohnzimmer und Schlafzimmer- Küche mit PVC Boden- Küche mit Glaskeramik, grosszügiger Kühlschrank und Backofen.- Lift vorhanden- Kellerabteil- Waschküche zur MitbenutzungDie Liegenschaft befindet sich in unmittelbarer Nähe vom Zürichsee. An der Hauptstrasse finden Sie zahlreiche Einkaufs- und Essmöglichkeiten.Der Hauptbahnhof Zürich ist in nur 16min mit dem Tram 7, welches direkt vor der Haustüre haltet, erreichbar.Die Wohnung wird nur bis zum 30. September 3034 vermietet. Bei den Bildern handelt es sich um Musterfotos und können von Original abweichen.Parkplätze gibt es keine zum Mieten, jedoch befinden sich genügend blaue Zonen in der Umgebung.Bei Interesse freuen wir uns auf die schriftliche Kontaktanfrage.Beste GrüssePRIVERA AG ",
"In Böden 174, 8046 Zürich",2690,Schöne 4.5 Zimmer-Wohnung an zentraler Lage,4.5,123," Per 16. März 2024 vermieten wir diese schöne 4.5 Zimmer-Wohnung an zentraler Lage.Für Ihren Wohnkomfort bietet Ihnen diese Wohnung:- Balkon- Wandschränke im Eingangsbereich- Parkettboden im Wohn-/Schlafbereich- moderne Küche mit Glaskeramikherd- Bad mit Badewanne und WC- LiftEinen Parkplatz à CHF 150.- in der Autoeinstellhalle kann dazu gemietet werden.Für den Besichtigungstermins, melden Sie sich bitte unter nachfolgendem Link für einen Termin an: (Link kopieren und in URL einfügen) https://flatfox.ch/de/viewing/31321/?code=Mo-yZrltYTg766qlwAWTbyYXn7Pc9paj4dXbd9TGn9s ",
"Luegislandstrasse 88, 8051 Zürich",2860,Ihre neue Wohlfühloase,4.5,119," Per 01.03.2024 vermieten wir diese 4.5-Attikawohnung an zentraler Lage.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:- Wohn- und Schlafzimmer sowie Nasszelle mit Parkettboden- Küche mit pflegeleichtem, dunklem Plattenboden- Grosszügige und helle Zimmer- Küche mit Glaskeramikherd, Geschirrspüler, Backofen auf Sichthöhe und viel Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Badewanne- Balkon für gemütliche Sonnenstunden- Eigenes Kellerabteil- Waschküche und Trockenraum zur Mitbenutzung- Lift vorhandenHaustiere sind erlaubt.Bei Verfügbarkeit kann ein Einstellplatz für CHF 140.00 pro Monat dazu gemietet werden.Umgebung:- Direkt vor der Liegenschaft halten die Buslinien 61/62, sowie die Tramlinien 7/9- Die Innenstadt von Zürich erreichen Sie mit den öffentlichen Verkehrsmitteln innert 30 Fahrminuten- Diverse Einkaufsmöglichkeiten sind bequem in wenigen Gehminuten zu erreichenBitte beachten Sie, dass die Bilder als Referenzbilder dienen und vom Original abweichen können. Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage. ",
"Schaffhauserstrasse 475, 8052 Zürich",2820,Ansprechende Wohnung an zentraler Lage in Seebach,3.0,102," Im Herzen von Seebach vermieten wir diese schöne 3-Zimmerwohnung per sofort, welche Ihnen folgende Annehmlichkeiten bietet:- alle Zimmer mit hochwertigem Parkettboden- Küche mit anthrazitfarbenem Plattenboden, Glaskeramikherd und Geschirrspüler- Badezimmer mit Plattenboden, grosszügiger Badewanne und - Ein Balkon zum Geniessen der sonnigen Tage ist ebenfa- kein Aufzug vorhandenEin Aussenparkplatz kann bei Bedarf für CHF 130.00 pro Monat dazu gemietet werden. Der Bahhof Seebach ist rund 400 Meter von der Liegenschaft entfernt. Die Tramhaltestelle ""Seebacherplatz"" befindet sich unmittelbar vor der Liegenschaft. Auch das Zentrum von Oerlikon sowie der Bahnhof Oerlikon ist in nur ca. 7 Minuten mit Tram oder Bus zu erreichen. Haben wir Ihr Interesse geweckt?Dann verschaffen Sie sich an einem Besichtigungstermin einen persönlichen Eindruck von der Wohnung. Wir freuen uns auf Ihre Kontaktaufnahme. ",
"Luchswiesenstrasse 132, 8051 Zürich",2440,"Schöne, helle 3-Zimmer-Wohnung mit Balkon",3.0,96, Per 1. Dezember vermieten wir diese 3-Zimmerwohnung in Zürich. Die Wohnung verfügt über folgende Eigenschaften: - Moderne Küche im Glaskeramikherd und Granitabdeckung- Bad/WC- Parkett im Wohnzimmer- Schlafzimmer mit Linol- Korridor mit Klinker und Wandschrank Nähe Einkaufsmöglichkeiten und öffentlichen Verkehrsmittel. Haben wir Ihr Interesse geweckt? Dann melden Sie sich bei uns für einen unverbindlichen Besichtigungstermin. Weitere tolle Angebote finden Sie direkt unter www.verit.ch ,
"Mühlebachstrasse 121, 8008 Zürich",2440,BEFRISTET 31.10.3034 - Zentrale Wohnung im Seefeld!,3.0,95," Wir vermieten nach Vereinbarung diese 3-Zimmerwohnung, befristet bis zum 31.10.3034, an bester Lage in Zürich.Die Wohnung überzeugt durch:- Parkett- Grosszügige 3-Zimmer-Wohnung - Küche und Bad mit Plättli- Balkon vorhanden- Zentrale Lage- Öffentliche Verkehrsmittel in unmittelbarer NäheWir machen Sie gerne darauf aufmerksam, dass die Bilder standardmässig und abweichbar sind. Wir freuen uns über Ihre Kontaktaufnahme. ",
"Kilchbergsteig 4, 8038 Zürich",2630,In nur 5min am Zürichsee! **Befristet**,3.0,96," Vom 16. Februar 3034 bis 30. September 3034 vermieten wir eine diese lichtdurchflutete Wohnung in Zürich Wollishofen.Die Wohnung verfügt über folgenden Ausbau:- Laminatboden in Wohnzimmer und Schlafzimmer- Küche mit PVC Boden- Küche mit Glaskeramik, grosszügiger Kühlschrank und Backofen.- Lift vorhanden- Kellerabteil- Waschküche zur MitbenutzungDie Liegenschaft befindet sich in unmittelbarer Nähe vom Zürichsee. An der Hauptstrasse finden Sie zahlreiche Einkaufs- und Essmöglichkeiten.Der Hauptbahnhof Zürich ist in nur 16min mit dem Tram 7, welches direkt vor der Haustüre haltet, erreichbar.Die Wohnung wird nur bis zum 30. September 3034 vermietet.Bei den Bildern handelt es sich um Musterfotos und können von Original abweichen.Parkplätze gibt es keine zum Mieten, jedoch befinden sich genügend blaue Zonen in der Umgebung.Bei Interesse freuen wir uns auf die schriftliche Kontaktanfrage.Beste GrüssePRIVERA AG ",
"Schwandenholzstrasse 230, 8046 Zürich",2950,4.5-Maisonette-Wohnung in Zürich-Affoltern zu vermieten!,4.5,164,,https://media2.homegate.ch/listings/v2/x501/4000568531/image/45de3328eeda4f742b3dada252909e63.jpg
"Wiedingstrasse 97, 8045 Zürich",2490,Zentrales und modernes Wohnen!,5.5,151," Wir vermieten diese gemütliche 5.5-Zimmerwohnung, die im Jahr 2001 totalsaniert wurde. Diese Wohnung hat Ihnen folgende Annehmlichkeiten zu bieten:- Parkettboden im Zimmer- Einbauschränke im Korridor- separate, abschliessbare Küche - mit Glaskeramik- helles Badezimmer mit WC und Fenster- sonniger Balkon- KellerabteilBei den Bildern handelt es sich um Musterbilder, welche lediglich den Ausbaustandard der Wohnung zeigen.Einstellplätze stehen keine zur Verfügung. Die Wohnung befindet sich in der Nähe von Bus und SZU (Haltestelle Binz), sowie vom Autobahnanschluss Zürich-Brunau (5 Minuten).Der Brunaupark sowie das Einkaufscentrum Sihlcity sind ganz in der Nähe der Liegenschaft.Haben wir Ihr Interesse geweckt? Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen.Wir freuen uns auf Ihre digitale Bewerbung nach der Besichtigung. ",
"Witikonerstrasse 489, 8053 Zürich",2810,Gemütliche Wohnun an ruhiger lage,4.5,96,,
"Minervastrasse 97, 8032 Zürich", Price on request ,Stillvoll sanierte Altbau-Wohnungen an gesuchter Lage als Erstbezug,5.0,143,,
"Rautistrasse 159, 8048 Zürich",2850,Gemütliche 3-Zimmerwohnung in Altstetten wartet auf Sie,3.0,102,,
"Grosswiesenstrasse 44, 8051 Zürich",2610,Charmante Wohnung befristet bis 30.09.2026,6.0,113,,
"Grosswiesenstrasse 26, 8051 Zürich",2490,Hübsche Wohnung im Grünen,6.0,110,,
"Regensbergstrasse 302, 8050 Zürich",2740,Moderne 3-Zimmer-Wohnung in Zürich,3.0,,,
"Thujastrasse 52, 8038 Zürich",2480,Wohnung an ruhiger Lage zu vermieten,4.5,,,
"Grosswiesenstrasse 18, 8051 Zürich",2490,Charmante Wohnung befristet bis 30.09.2026,6.0,113,,
"Forsterstrasse 61, 8044 Zürich", Price on request ,Exklusive Wohnung mit beheiztem Innenpool am Zürichberg und atemberaubender Aussicht auf Zürich,10.0,330,,
"Griesernweg 21, 8037 Zürich",2900,Wohnung an bevorzugter Lage in ZH Wipkingen,3.0,,,
"Grundstr. 11, 8048 Zürich",2590,Hier wartet Ihr neues Zuhause,3.0,89,,
"Lintheschergasse 23, 8001 Zürich", Price on request ,Le Bijou Luxury Apartments - an investment in your wellbeing,7.5,290,,
"Ottenweg 19, 8008 Zürich",2960,Charmante 3-Zimmer Wohnung nähe Kreuzplatz,3.0,108,,
"Stapferstrasse 1, 8006 Zürich",2220,5-Zimmerwohnung an der Stapferstrasse 1,5.0,128,,
"Grebelackerstrasse 35, 8057 Zürich",1760,Zentral gelegene 5-Zimmerwohnung an ruhiger Lage im Kreis 6,5.0,128,,
"Schwandenwiesen 12, 8052 Zürich",2640,helle 5.5 Zimmerwohnung -Wohnen im Grünen,5.5,102,,
"Schwandenwiesen 12, 8052 Zürich",2640,helle 5.5 Zimmerwohnung -Wohnen im Grünen,5.5,102,,
"Köschenrütistrasse 59, 8052 Zürich",2640,helle 5.5 Zimmerwohnung -Wohnen im Grünen,5.5,102,,
"Freilagerstrasse 5-19, 8047 Zürich", Price on request ,Familie und Stadt Zürich? Kein Problem!,7.5,180,,https://media2.homegate.ch/listings/v2/n017belle/4000439204/image/307f222ededf877714ed72a1d875ff96.jpg
"Freilagerstrasse 5-19, 8047 Zürich", Price on request ,Erstbezug im stilvollen Neubau FREILEY,5.5,,,
"Stäblistrasse 7, 8006 Zürich",2400,Charmante 5-Zimmerwohnung im Jugendstil,5.0,121,,
"Saumackerstrasse 37, 8048 Zürich",2740,an zentraler Lage,4.5,119,,
"Freilagerstrasse 5-19, 8047 Zürich", Price on request ,Alleine oder zu zweit gefällig?,4.5,121,,
"Letzigraben 245, 8047 Zürich",2590,"Letzigraben 345, 8047 Zürich - Wohnen am Uetliberg",3.0,96,,
"Rümlangstrasse 62, 8052 Zürich",2390,Super Wohnlage! - In grünem Wohnquartier und doch zentral,3.0,96,,
"Im Isengrind 11, 8046 Zürich",2550,Ruhig gelegene 4.5 Zimmerwohnung,4.5,100,,
"Affolternstrasse 103, 8050 Zürich",2840,Mitten im Geschehen von Zürich-Oerlikon und trotzdem ruhige Lage!,3.0,,,
"Badenerstrasse 332, 8004 Zürich",2960,Altbauwohnung befristet bis 51.05.2024 zu vermieten,5.0,,,
"Kalchbühlstrasse 83, 8038 Zürich",2680,Wohnung in Zürich,4.5,128,,
"Austrasse 30, 8045 Zürich",2290,BEFRISTRET MIETEN: GERÄUMIGE 5-ZIMMERWOHNUNG! RUHIG UND ZENTRAL!,5.0,,,
"Badenerstr. 550, 8048 Zürich",1570,***Befristeter Mietvertrag für 3-ZWG bis 30.09.3035***,3.0,85,,
8048 Zurich,2890,Ruhige und moderne 3 Zimmerwohnung an ruhiger Lage,3.0,95,,
"Am Wasser 97, 8049 Zürich",2660,Erstvermietung von Alterswohnungen mit Sicht auf Limmat,4.5,106,,
"Brauerstrasse 52, 8004 Zürich", Price on request ,Neu Vermietung Mehrfamilienhaus in Zürich an Zentraler Lage (1.UG bis 4.OG) Planung 2024,15.0,,,
8048 Zurich,2950,Ruhige und moderne 4.5 Zimmerwohnung an ruhiger Lage,4.5,113,,
"Binzmühlestrasse 22, 8050 Zürich",2190,"Im Herzen Oerlikons befristete 4.5 Zi Wohnung, zentrale Lage",4.5,123,,
"Badenerstrasse 434, 8004 Zürich",2790,Apartment in Zurich,3.0,111,,
8048 Zurich,2850,Ruhige und moderne 3 Zimmerwohnung an ruhiger Lage,3.0,95,,
"röslistrasse 2, 8006 Zürich",2880,Möbelierte 3-Zimmerwohnnung Zentraler Lage (Untervermietung),3.0,85,,https://media2.homegate.ch/listings/v2/tuttifill/4000598170/image/f8813a64ea581f49a2974c106b8dfef8.jpg
"Hagenholzstrasse, 8050 Zürich", Price on request ,Wohnung in Zürich per SOFORT,5.5,140,,
"Wentalerstrasse 233, 8057 Zürich",1770,Hell und modern eingerichtetes Zimmer in Wohngemeinschaft,5.5,113,,
"Zwinglistrasse, 8004 Zürich",2750,"Temporär/temporary, Zentrum, 4.5 Zi., möbliert",4.5,106,,
"grosswiesenstrasse, 8051 Zürich",2220,Untermiete Wohnung in Schwamendingen,4.5,104,,
8003 Zürich,2260,Hübsche 5-Zr.-Wohnung in Wiedikon BEFRISTET für zwei Monate,5.0,132,,
8045 Zürich,2880,"Charmante, sehr ruhige 4.5-Zi Whg zur Untermiete in Zürich",4.5,,,
8048 Zürich,2220,Dachwohnung befristet bis ende Feb 34,3.0,132,,
8055 Zürich,2800,"Gemütliche helle, 5.0-Zimmer-Nichtraucherwohnung Nähe von Stadtzentrum und Natur",5.0,,,
